date,season,home_team,away_team,result,bet_on,prob_model,odd,value,won,stake_flat,pl_flat,bankroll_flat,stake_kelly,pl_kelly,bankroll_kelly
,2025,RB Bragantino,SC Corinthians Paulista,H,H,0.513,2.73,1.4,True,32.49,56.2,1680.46,139.1,240.65,3022.72
,2025,EC Vitória,SC Internacional,H,H,0.513,2.46,1.262,True,33.61,49.07,1729.53,135.45,197.76,3220.48
,2025,Botafogo FR,CR Vasco da Gama,H,,,,,,0.0,0.0,1729.53,0.0,0.0,3220.48
,2025,CA Mineiro,EC Bahia,H,H,0.551,2.11,1.163,True,34.59,38.4,1767.93,117.87,130.84,3351.32
,2025,Grêmio FBPA,Cruzeiro EC,A,,,,,,0.0,0.0,1767.93,0.0,0.0,3351.32
,2025,São Paulo FC,CR Flamengo,D,,,,,,0.0,0.0,1767.93,0.0,0.0,3351.32
,2025,Fluminense FC,Mirassol FC,H,,,,,,0.0,0.0,1767.93,0.0,0.0,3351.32
,2025,SE Palmeiras,Santos FC,H,,,,,,0.0,0.0,1767.93,0.0,0.0,3351.32
,2025,SC Internacional,EC Bahia,D,H,0.551,2.26,1.245,False,35.36,-35.36,1732.57,163.01,-163.01,3188.3
,2025,São Paulo FC,RB Bragantino,A,,,,,,0.0,0.0,1732.57,0.0,0.0,3188.3
,2025,Cruzeiro EC,Fluminense FC,D,,,,,,0.0,0.0,1732.57,0.0,0.0,3188.3
,2025,EC Vitória,Botafogo FR,D,A,0.454,2.34,1.062,False,34.65,-34.65,1697.92,36.86,-36.86,3151.45
,2025,CR Flamengo,Santos FC,H,,,,,,0.0,0.0,1697.92,0.0,0.0,3151.45
,2025,Mirassol FC,SE Palmeiras,H,,,,,,0.0,0.0,1697.92,0.0,0.0,3151.45
,2025,Santos FC,SE Palmeiras,H,H,0.513,2.77,1.421,True,33.96,60.11,1758.02,157.57,278.9,3430.35
,2025,RB Bragantino,CA Mineiro,H,H,0.513,2.24,1.149,True,35.16,43.6,1801.62,102.95,127.66,3558.01
,2025,SE Palmeiras,EC Vitória,D,,,,,,0.0,0.0,1801.62,0.0,0.0,3558.01
,2025,Santos FC,Mirassol FC,D,H,0.604,1.83,1.105,False,36.03,-36.03,1765.59,112.28,-112.28,3445.73
,2025,Grêmio FBPA,CR Vasco da Gama,H,,,,,,0.0,0.0,1765.59,0.0,0.0,3445.73
,2025,Fluminense FC,CR Flamengo,H,,,,,,0.0,0.0,1765.59,0.0,0.0,3445.73
,2025,SC Corinthians Paulista,São Paulo FC,H,D,0.452,2.68,1.21,False,35.31,-35.31,1730.28,107.79,-107.79,3337.93
,2025,Botafogo FR,Grêmio FBPA,H,,,,,,0.0,0.0,1730.28,0.0,0.0,3337.93
,2025,SE Palmeiras,Fluminense FC,D,,,,,,0.0,0.0,1730.28,0.0,0.0,3337.93
,2025,CR Flamengo,RB Bragantino,H,,,,,,0.0,0.0,1730.28,0.0,0.0,3337.93
,2025,EC Bahia,CR Vasco da Gama,H,,,,,,0.0,0.0,1730.28,0.0,0.0,3337.93
,2025,Cruzeiro EC,SC Corinthians Paulista,H,,,,,,0.0,0.0,1730.28,0.0,0.0,3337.93
,2025,SC Internacional,Santos FC,D,H,0.604,1.95,1.177,False,34.61,-34.61,1695.67,155.67,-155.67,3182.27
,2025,CA Mineiro,CR Flamengo,D,A,0.523,2.13,1.114,False,33.91,-33.91,1661.76,80.36,-80.36,3101.91
,2025,Grêmio FBPA,SE Palmeiras,H,H,0.513,2.42,1.241,True,33.24,47.19,1708.95,131.71,187.03,3288.94
